,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
3113,2023-08-03,マイジャグラーV,655,2670,-597,8,5,205.4,333.8,534.0,5.666887160576739,0,3,208.0,2530.0,194.6,2530.0
3114,2023-08-03,マイジャグラーV,656,7903,828,29,27,141.1,272.5,292.7,5.586748870024504,3,3,-308.0,1901.0,380.2,316.8
3115,2023-08-03,マイジャグラーV,657,6842,-394,22,21,159.1,311.0,325.8,5.6685198433602055,3,3,-681.0,5726.0,301.4,409.0
3116,2023-08-03,マイジャグラーV,658,7889,1350,33,25,136.0,239.1,315.6,5.718297640141142,3,3,-219.0,4437.0,261.0,341.3
3117,2023-08-03,マイジャグラーV,660,2927,-1061,8,3,266.1,365.9,975.7,5.647701725595978,0,3,28.0,4719.0,294.9,235.9
3118,2023-08-03,マイジャグラーV,661,2836,-1106,7,6,218.2,405.1,472.7,5.932537654382342,0,3,-231.0,1472.0,245.3,1472.0
3119,2023-08-03,マイジャグラーV,662,6632,906,28,19,141.1,236.9,349.1,5.779693861328935,2,3,-8.0,2700.0,245.5,540.0
3120,2023-08-03,マイジャグラーV,663,5158,-250,18,11,177.9,286.6,468.9,5.540112843065588,1,3,-375.0,3093.0,309.3,309.3
3121,2023-08-03,マイジャグラーV,665,8920,97,29,33,143.9,307.6,270.3,5.668968647139717,4,3,-542.0,1328.0,442.7,442.7
3122,2023-08-03,マイジャグラーV,666,1705,-1228,4,2,284.2,426.2,852.5,7.0343592607662,0,3,1028.0,4866.0,231.7,324.4
3123,2023-08-03,マイジャグラーV,668,6980,1361,33,22,126.9,211.5,317.3,6.181538821026893,1,3,186.0,7047.0,251.7,414.5
3124,2023-08-03,マイジャグラーV,670,2837,-1717,4,7,257.9,709.2,405.3,5.912936424488455,0,3,508.0,2328.0,179.1,776.0
3125,2023-08-03,マイジャグラーV,671,6032,-847,20,17,163.0,301.6,354.8,6.022283827940515,1,3,-131.0,1833.0,261.9,611.0
3126,2023-08-03,マイジャグラーV,672,3700,-403,15,6,176.2,246.7,616.7,6.1670379737446686,0,3,514.0,5688.0,284.4,247.3
3127,2023-08-03,マイジャグラーV,673,7094,-242,24,22,154.2,295.6,322.5,5.748737959454626,3,3,-308.0,5778.0,288.9,321.0
3128,2023-08-03,マイジャグラーV,675,6448,614,29,16,143.3,222.3,403.0,6.091202168180794,1,3,269.0,1794.0,256.3,256.3
3129,2023-08-03,マイジャグラーV,676,1680,-1417,2,3,336.0,840.0,560.0,6.4926269071850005,0,3,472.0,5365.0,233.3,357.7
3130,2023-08-03,マイジャグラーV,677,8083,1922,39,21,134.7,207.3,384.9,5.854449609719459,2,3,-75.0,2545.0,318.1,318.1
3185,2023-08-02,マイジャグラーV,628,4749,-506,16,15,153.2,296.8,316.6,6.074116334903208,1,2,1656.0,8162.0,240.1,272.1
3186,2023-08-02,マイジャグラーV,630,1988,-1094,4,3,284.0,497.0,662.7,5.903612742247273,0,2,547.0,3225.0,201.6,403.1
3187,2023-08-02,マイジャグラーV,631,1311,-972,3,0,437.0,437.0,0.0,6.443151599782384,0,2,225.0,5145.0,270.8,285.8
3188,2023-08-02,マイジャグラーV,632,6231,1478,30,16,135.5,207.7,389.4,5.8341109524334405,1,2,-481.0,3153.0,262.8,788.2
3189,2023-08-02,マイジャグラーV,633,1407,-392,5,3,175.9,281.4,469.0,6.674352568677892,0,2,425.0,6375.0,255.0,335.5
