,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
1184,2023-06-08,マイジャグラーV,149,3999,-295,14,7,190.4,285.6,571.3,5.507942530776356,0,8,-556.0,2901.0,362.6,322.3
1185,2023-06-08,マイジャグラーV,150,4951,-2508,8,15,215.3,618.9,330.1,5.931202338647566,1,8,628.0,4838.0,241.9,345.6
1186,2023-06-08,マイジャグラーV,1097,4459,-1526,12,8,222.9,371.6,557.4,5.824348728719883,1,8,-958.0,1304.0,652.0,652.0
1187,2023-06-08,マイジャグラーV,1098,3290,817,15,10,131.6,219.3,329.0,5.720254724333817,0,8,438.0,5307.0,241.2,379.1
1188,2023-06-08,マイジャグラーV,1099,2696,-461,8,8,168.5,337.0,337.0,5.852426676376716,0,8,-71.0,1263.0,252.6,631.5
1189,2023-06-08,マイジャグラーV,1100,4142,-1266,11,12,180.1,376.5,345.2,6.090386892231689,1,8,-1313.0,2975.0,595.0,270.5
1190,2023-06-08,マイジャグラーV,1101,2427,-272,9,4,186.7,269.7,606.8,5.821284566998981,0,8,-863.0,1785.0,595.0,357.0
1191,2023-06-08,マイジャグラーV,1102,4892,675,21,11,152.9,233.0,444.7,5.604987508537166,1,8,-816.0,1230.0,615.0,1230.0
1192,2023-06-08,マイジャグラーV,1103,4301,2049,25,14,110.3,172.0,307.2,6.124534604210575,1,8,-1029.0,1656.0,828.0,552.0
1193,2023-06-08,マイジャグラーV,1118,3578,-840,9,12,170.4,397.6,298.2,5.820268301111223,0,8,1338.0,5530.0,212.7,325.3
1194,2023-06-08,マイジャグラーV,1119,3122,-840,10,6,195.1,312.2,520.3,6.097187856169233,0,8,-508.0,828.0,828.0,414.0
1195,2023-06-08,マイジャグラーV,1120,3294,-461,12,6,183.0,274.5,549.0,5.945760074474706,0,8,-390.0,3798.0,271.3,633.0
1196,2023-06-08,マイジャグラーV,1121,5884,1338,28,17,130.8,210.1,346.1,5.951408238572658,1,8,-248.0,927.0,309.0,927.0
1197,2023-06-08,マイジャグラーV,1122,8881,722,29,37,134.6,306.2,240.0,5.579771928204655,5,8,-461.0,4269.0,304.9,328.4
1198,2023-06-08,マイジャグラーV,1123,2487,-71,12,3,165.8,207.2,829.0,6.489918147342612,0,8,-47.0,2573.0,257.3,428.8
1199,2023-06-08,マイジャグラーV,1124,3959,-745,15,5,197.9,263.9,791.8,6.080983209737585,0,8,-319.0,4135.0,275.7,413.5
1260,2023-06-06,マイジャグラーV,131,4351,83,20,6,167.3,217.6,725.2,6.067455966664609,1,6,-556.0,2265.0,453.0,283.1
1261,2023-06-06,マイジャグラーV,132,1957,320,10,3,150.5,195.7,652.3,6.0354729525711415,0,6,1338.0,7213.0,212.1,379.6
1262,2023-06-06,マイジャグラーV,133,3889,-106,14,13,144.0,277.8,299.2,6.044121187139767,0,6,699.0,4791.0,299.4,208.3
1263,2023-06-06,マイジャグラーV,134,947,-769,1,2,315.7,947.0,473.5,6.325658298676293,0,6,722.0,4899.0,244.9,257.8
1264,2023-06-06,マイジャグラーV,135,5543,-958,19,13,173.2,291.7,426.4,6.087255595311681,1,6,509.0,2023.0,252.9,289.0
1265,2023-06-06,マイジャグラーV,136,3935,-47,14,11,157.4,281.1,357.7,5.709740360893136,0,6,-1526.0,8234.0,358.0,265.6
1266,2023-06-06,マイジャグラーV,137,5130,-840,15,18,155.5,342.0,285.0,6.001431130748153,1,6,-674.0,2031.0,406.2,677.0
1267,2023-06-06,マイジャグラーV,138,1307,-603,3,2,261.4,435.7,653.5,5.821331305398861,0,6,-295.0,3715.0,265.4,619.2
1268,2023-06-06,マイジャグラーV,139,3087,628,14,10,128.6,220.5,308.7,5.968466731275593,0,6,415.0,2467.0,189.8,822.3
1269,2023-06-06,マイジャグラーV,140,3052,-153,12,7,160.6,254.3,436.0,6.054913482438354,0,6,83.0,5751.0,261.4,302.7
1270,2023-06-06,マイジャグラーV,141,6639,1843,34,18,127.7,195.3,368.8,6.039442863124291,1,6,131.0,5951.0,258.7,350.1
1271,2023-06-06,マイジャグラーV,142,1334,-366,3,4,190.6,444.7,333.5,5.5845778825744326,0,6,-71.0,1736.0,248.0,868.0
1272,2023-06-06,マイジャグラーV,143,1552,-319,5,2,221.7,310.4,776.0,5.588682945842313,0,6,83.0,3215.0,292.3,247.3
1273,2023-06-06,マイジャグラーV,144,6575,1882,25,33,113.4,263.0,199.2,5.598284902625631,6,6,249.0,4077.0,239.8,370.6
1274,2023-06-06,マイジャグラーV,145,1136,-343,3,2,227.2,378.7,568.0,5.59801676458186,0,6,1660.0,7913.0,239.8,263.8
1275,2023-06-06,マイジャグラーV,146,3274,-485,10,10,163.7,327.4,327.4,5.879295909061908,0,6,651.0,2835.0,218.1,354.4
1276,2023-06-06,マイジャグラーV,147,785,-177,2,3,157.0,392.5,261.7,6.008327177907381,0,6,462.0,6105.0,290.7,234.8
1277,2023-06-06,マイジャグラーV,148,4820,912,19,22,117.6,253.7,219.1,5.961745323207149,1,6,1361.0,7490.0,258.3,234.1
1278,2023-06-06,マイジャグラーV,149,2901,-556,8,9,170.6,362.6,322.3,5.78202666826262,0,6,1219.0,7513.0,289.0,221.0
1279,2023-06-06,マイジャグラーV,150,4838,628,20,14,142.3,241.9,345.6,5.732054185198257,2,6,-71.0,1742.0,248.9,1742.0
1280,2023-06-06,マイジャグラーV,1097,1304,-958,2,2,326.0,652.0,652.0,6.2362091423686845,0,6,-721.0,2960.0,296.0,986.7
1281,2023-06-06,マイジャグラーV,1098,5307,438,22,14,147.4,241.2,379.1,5.839470103243786,2,6,533.0,3451.0,246.5,265.5
1282,2023-06-06,マイジャグラーV,1099,1263,-71,5,2,180.4,252.6,631.5,5.812544106432054,0,6,60.0,3116.0,259.7,311.6
1283,2023-06-06,マイジャグラーV,1100,2975,-1313,5,11,185.9,595.0,270.5,5.992959405820737,0,6,-1502.0,6366.0,454.7,254.6
1284,2023-06-06,マイジャグラーV,1101,1785,-863,3,5,223.1,595.0,357.0,5.804887369636225,0,6,-343.0,584.0,584.0,584.0
1285,2023-06-06,マイジャグラーV,1102,1230,-816,2,1,410.0,615.0,1230.0,5.711625927507974,0,6,1101.0,2781.0,185.4,397.3
1286,2023-06-06,マイジャグラーV,1103,1656,-1029,2,3,331.2,828.0,552.0,5.52619929036393,0,6,-248.0,3408.0,262.2,681.6
1287,2023-06-06,マイジャグラーV,1118,5530,1338,26,17,128.6,212.7,325.3,5.90490153409849,1,6,-816.0,1389.0,694.5,694.5
1288,2023-06-06,マイジャグラーV,1119,828,-508,1,2,276.0,828.0,414.0,5.722535604382868,0,6,-461.0,528.0,0.0,528.0
1289,2023-06-06,マイジャグラーV,1120,3798,-390,14,6,189.9,271.3,633.0,5.732881092336642,0,6,415.0,4625.0,243.4,355.8
1290,2023-06-06,マイジャグラーV,1121,927,-248,3,1,231.8,309.0,927.0,5.772098722408681,0,6,580.0,4140.0,258.8,276.0
1291,2023-06-06,マイジャグラーV,1122,4269,-461,14,13,158.1,304.9,328.4,5.935264151066918,1,6,-414.0,2228.0,318.3,557.0
1292,2023-06-06,マイジャグラーV,1123,2573,-47,10,6,160.8,257.3,428.8,5.881052641795331,0,6,-106.0,341.0,341.0,0.0
1293,2023-06-06,マイジャグラーV,1124,4135,-319,15,10,165.4,275.7,413.5,5.903462101232221,1,6,-24.0,4410.0,259.4,441.0
2106,2023-05-28,マイジャグラーV,131,6677,-82,27,15,159.0,247.3,445.1,5.984416847858304,1,8,-106.0,4339.0,255.2,394.5
2107,2023-05-28,マイジャグラーV,132,3268,-1621,5,8,251.4,653.6,408.5,5.573793231765733,0,8,0.0,2883.0,262.1,411.9
2108,2023-05-28,マイジャグラーV,133,3675,-1005,11,5,229.7,334.1,735.0,5.668346492717839,0,8,-603.0,1618.0,539.3,323.6
2109,2023-05-28,マイジャグラーV,134,3202,-816,9,10,168.5,355.8,320.2,6.126753586491193,0,8,5106.0,7338.0,156.1,282.2
2110,2023-05-28,マイジャグラーV,135,9258,1077,35,34,134.2,264.5,272.3,5.744781322948955,4,8,-295.0,944.0,314.7,944.0
2111,2023-05-28,マイジャグラーV,136,5283,-934,16,14,176.1,330.2,377.4,5.810850393440726,2,8,415.0,1946.0,216.2,278.0
2112,2023-05-28,マイジャグラーV,137,5608,1574,32,9,136.8,175.2,623.1,6.1864635412111575,1,8,-224.0,2173.0,271.6,543.2
