日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日の差枚,前日のG数,前日のBB確率,前日のRB確率,翌日,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング
2023-09-18,マイジャグラーV,37,2793,-641,8,5,214.8,349.1,558.6,5.535460841198942,0,8,13,14,-742.0,3128.0,347.6,391.0,2023-09-18,11.0,12.0,11.0,3.0
2023-09-18,マイジャグラーV,38,4407,-841,14,12,169.5,314.8,367.2,6.059246031084286,0,8,26,14,-183.0,4371.0,257.1,485.7,2023-09-18,6.0,8.0,7.5,5.0
2023-09-18,マイジャグラーV,50,2981,-275,11,8,156.9,271.0,372.6,6.154703886390195,0,8,19,14,1568.0,7559.0,252.0,236.2,2023-09-18,1.0,1.0,1.0,14.0
2023-09-18,マイジャグラーV,51,3529,-737,9,10,185.7,392.1,352.9,5.549297973413166,0,8,19,14,-367.0,1820.0,303.3,364.0,2023-09-18,13.0,10.0,13.0,7.0
2023-09-18,マイジャグラーV,52,6470,173,27,16,150.5,239.6,404.4,6.045472488305614,1,8,43,14,1477.0,5916.0,227.5,268.9,2023-09-18,5.0,2.0,4.0,13.0
2023-09-18,マイジャグラーV,53,986,-521,2,1,328.7,493.0,986.0,5.632867116937079,0,8,3,14,-750.0,2173.0,362.2,310.4,2023-09-18,12.0,13.0,12.0,6.0
2023-09-18,マイジャグラーV,55,7585,2577,34,35,109.9,223.1,216.7,5.889649601324445,6,8,69,14,-502.0,3669.0,305.8,458.6,2023-09-18,10.0,11.0,9.0,4.0
2023-09-18,ファンキージャグラー2,23,1451,-1457,0,2,725.5,0.0,725.5,5.741862426104065,0,8,2,7,-1051.0,938.0,0.0,469.0,2023-09-18,5.0,6.0,5.5,1.0
2023-09-18,ファンキージャグラー2,25,669,-62,3,0,223.0,223.0,0.0,5.868740873269081,0,8,3,7,313.0,5259.0,228.7,478.1,2023-09-18,1.0,1.0,1.0,7.0
2023-09-18,ファンキージャグラー2,26,518,-475,0,1,518.0,0.0,518.0,5.602902909426318,0,8,1,7,-852.0,1628.0,542.7,542.7,2023-09-18,4.0,5.0,4.0,4.0
2023-09-18,ファンキージャグラー2,27,246,-288,0,0,0.0,0.0,0.0,5.891153750132461,0,8,0,7,79.0,4069.0,254.3,406.9,2023-09-18,3.0,2.0,2.0,6.0
2023-09-18,ファンキージャグラー2,28,4137,1054,21,10,133.5,197.0,413.7,5.975644697872895,0,8,31,7,-457.0,693.0,693.0,693.0,2023-09-18,6.0,4.0,5.5,3.0
2023-09-18,ファンキージャグラー2,30,172,-95,0,1,172.0,0.0,172.0,5.623524642154202,0,8,1,7,-1156.0,4202.0,350.2,466.9,2023-09-18,2.0,7.0,3.0,5.0
2023-09-18,ファンキージャグラー2,31,2964,-540,12,2,211.7,247.0,1482.0,6.090045764721436,0,8,14,7,-212.0,367.0,367.0,0.0,2023-09-18,7.0,3.0,7.0,2.0
2023-09-18,ハッピージャグラーVIII,20,1166,-184,3,6,129.6,388.7,194.3,6.593485201202378,0,8,9,3,-69.0,5623.0,267.8,351.4,2023-09-18,1.0,1.0,1.0,3.0
2023-09-18,ハッピージャグラーVIII,21,220,-287,0,0,0.0,0.0,0.0,6.804141247786722,0,8,0,3,-820.0,1571.0,785.5,314.2,2023-09-18,3.0,3.0,3.0,1.0
2023-09-18,ハッピージャグラーVIII,22,5873,1492,23,28,115.2,255.3,209.8,5.972971186655997,6,8,51,3,-407.0,2199.0,366.5,274.9,2023-09-18,2.0,2.0,2.0,2.0
2023-09-17,アイムジャグラーEX-TP,15,992,-150,4,2,165.3,248.0,496.0,6.826117993578219,0,7,6,4,131.0,948.0,189.6,948.0,2023-09-17,4.0,1.0,2.5,4.0
2023-09-17,アイムジャグラーEX-TP,16,2461,-327,6,10,153.8,410.2,246.1,5.731260385435062,0,7,16,4,-539.0,1205.0,401.7,602.5,2023-09-17,3.0,2.0,4.0,2.0
2023-09-17,アイムジャグラーEX-TP,17,1356,-233,5,2,193.7,271.2,678.0,6.20363599863831,0,7,7,4,-562.0,1475.0,491.7,491.7,2023-09-17,2.0,3.0,2.5,1.0
2023-09-17,アイムジャグラーEX-TP,18,1408,-750,3,4,201.1,469.3,352.0,6.72427607413266,0,7,7,4,-1591.0,2885.0,577.0,360.6,2023-09-17,1.0,4.0,1.0,3.0
2023-09-17,マイジャグラーV,1,7285,543,29,22,142.8,251.2,331.1,5.860725676803072,3,7,51,14,-404.0,5089.0,299.4,339.3,2023-09-17,6.0,9.0,7.0,6.0
2023-09-17,マイジャグラーV,2,3762,-1620,9,10,198.0,418.0,376.2,6.277711305153076,0,7,19,14,-1119.0,2042.0,680.7,408.4,2023-09-17,10.0,14.0,11.0,3.0
2023-09-17,マイジャグラーV,3,705,-347,2,0,352.5,352.5,0.0,5.884048870364335,0,7,2,14,-505.0,2469.0,411.5,274.3,2023-09-17,9.0,10.0,9.0,4.0
2023-09-17,マイジャグラーV,5,6875,1046,30,19,140.3,229.2,361.8,5.816324439864824,2,7,49,14,-615.0,457.0,0.0,0.0,2023-09-17,13.0,12.0,14.0,14.0
2023-09-17,マイジャグラーV,6,6851,462,30,15,152.2,228.4,456.7,5.962309542200704,1,7,45,14,3364.0,6521.0,191.8,241.5,2023-09-17,2.0,1.0,1.0,13.0
2023-09-17,マイジャグラーV,7,4286,-135,16,11,158.7,267.9,389.6,5.876161628020879,0,7,27,14,222.0,5427.0,271.4,301.5,2023-09-17,5.0,6.0,5.0,9.0
2023-09-17,マイジャグラーV,8,3849,377,17,9,148.0,226.4,427.7,5.930080091882808,0,7,26,14,-577.0,638.0,638.0,638.0,2023-09-17,12.0,11.0,12.0,2.0
2023-09-17,マイジャグラーV,37,3128,-742,9,8,184.0,347.6,391.0,5.876595477824513,0,7,17,14,491.0,5771.0,288.6,262.3,2023-09-17,3.0,4.0,4.0,11.0
