日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング
2023-09-14,ファンキージャグラー2,205,3495,-84,12,11,152.0,291.2,317.7,5.78276593044983,0,4,23,5,6416.0,598.0,27.0,20.0,47.0,136.5,237.6,320.8,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ファンキージャグラー2,206,3942,-98,14,13,146.0,281.6,303.2,5.970030130705722,0,4,27,5,4262.0,-458.0,14.0,12.0,26.0,163.9,304.4,355.2,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ファンキージャグラー2,207,1206,-489,2,1,402.0,603.0,1206.0,4.855897907766326,0,4,3,5,6486.0,1833.0,29.0,25.0,54.0,120.1,223.7,259.4,2.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ファンキージャグラー2,208,852,-434,2,1,284.0,426.0,852.0,5.944000814858327,0,4,3,5,7396.0,2628.0,36.0,24.0,60.0,123.3,205.4,308.2,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ファンキージャグラー2,210,6269,1329,26,24,125.4,241.1,261.2,5.781263488956779,6,4,50,5,4897.0,236.0,16.0,18.0,34.0,144.0,306.1,272.1,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ハッピージャグラーVIII,127,2429,-434,7,5,202.4,347.0,485.8,5.658297257272019,0,4,12,6,3132.0,-1597.0,7.0,6.0,13.0,240.9,447.4,522.0,4.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ハッピージャグラーVIII,128,4276,154,15,16,137.9,285.1,267.2,6.0727176696840655,1,4,31,6,3171.0,-652.0,10.0,6.0,16.0,198.2,317.1,528.5,3.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ハッピージャグラーVIII,130,3494,98,15,10,139.8,232.9,349.4,6.636800116400432,0,4,25,6,3650.0,-347.0,14.0,5.0,19.0,192.1,260.7,730.0,2.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ハッピージャグラーVIII,131,278,-210,0,1,278.0,0.0,278.0,5.794331455560031,0,4,1,6,2286.0,-458.0,8.0,3.0,11.0,207.8,285.8,762.0,6.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,ハッピージャグラーVIII,132,926,-126,4,0,231.5,231.5,0.0,6.112424046447821,0,4,4,6,3900.0,-930.0,12.0,8.0,20.0,195.0,325.0,487.5,1.0,5.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
