日付,ランキング,機種名,機種別差枚,平均差枚,平均G数,勝率,日付末尾,出現回数
2023/7/9,2,ゴブリンスレイヤー,9060,2265,1926,75.0%(3/4),9,4
2023/6/29,2,スマスロ北斗の拳,8345,1192,6256,42.9%(3/7),9,4
2023/6/29,5,ゴブリンスレイヤー,4792,1198,3807,75.0%(3/4),9,4
2023/5/29,7,バキ 強くなりたくば喰らえ!!!,1918,959,812,100.0%(2/2),9,4
2023/5/9,7,バキ 強くなりたくば喰らえ!!!,3379,1690,2484,50.0%(1/2),9,4
2023/5/9,8,主役は銭形4,2074,691,4975,33.3%(1/3),9,4
2023/4/29,1,ゴブリンスレイヤー,11134,2784,4814,50.0%(2/4),9,4
2023/4/19,5,バキ 強くなりたくば喰らえ!!!,6223,3112,2929,50.0%(1/2),9,4
2023/2/9,5,アラジンAクラシック,2681,894,637,33.3%(1/3),9,4
2023/2/9,8,ANEMONE 交響詩篇エウレカセブン HI‐EVOLUTION,2118,1059,341,50.0%(1/2),9,4
2022/12/29,7,アラジンAクラシック,1054,351,1082,66.7%(2/3),9,4
2022/11/29,9,アラジンAクラシック,534,178,1246,66.7%(2/3),9,4
2022/10/29,4,アラジンAクラシック,610,203,630,66.7%(2/3),9,4
2022/10/29,5,ANEMONE 交響詩篇エウレカセブン HI‐EVOLUTION,490,163,357,33.3%(1/3),9,4
2022/10/9,5,ANEMONE 交響詩篇エウレカセブン HI‐EVOLUTION,1970,657,423,66.7%(2/3),9,4
2022/9/29,7,ANEMONE 交響詩篇エウレカセブン HI‐EVOLUTION,2020,673,107,33.3%(1/3),9,4
2023/9/9,3,ソードアート・オンライン,7434,2478,4965,33.3%(1/3),9,3
2023/7/19,4,ソードアート・オンライン,5407,1802,3113,66.7%(2/3),9,3
2023/6/29,10,ソードアート・オンライン,1161,387,3026,33.3%(1/3),9,3
2023/5/29,5,北斗の拳 宿命,2400,800,359,33.3%(1/3),9,3
2023/5/9,4,北斗の拳 宿命,4406,1469,1567,100.0%(3/3),9,3
2023/3/19,6,戦姫絶唱シンフォギア 勇気の歌,5309,2654,4536,100.0%(2/2),9,3
2023/2/19,7,戦姫絶唱シンフォギア 勇気の歌,1560,520,2444,66.7%(2/3),9,3
2023/2/9,10,Re:ゼロから始める異世界生活,1503,376,1049,25.0%(1/4),9,3
2023/1/29,2,Re:ゼロから始める異世界生活,5624,1406,2413,75.0%(3/4),9,3
2023/1/19,7,コードギアス反逆のルルーシュ3,2357,1178,5332,50.0%(1/2),9,3
2022/12/29,10,もっと！クレアの秘宝伝 女神の歌声と太陽の子供達,80,40,552,50.0%(1/2),9,3
2022/12/9,10,アナターのオット!?はーです,494,247,621,50.0%(1/2),9,3
2022/11/19,9,アナターのオット!?はーです,134,67,1228,50.0%(1/2),9,3
2022/11/9,2,コードギアス反逆のルルーシュ3,2480,827,1707,33.3%(1/3),9,3
2022/11/9,9,もっと！クレアの秘宝伝 女神の歌声と太陽の子供達,370,185,2230,50.0%(1/2),9,3
2022/10/29,7,もっと！クレアの秘宝伝 女神の歌声と太陽の子供達,150,75,240,50.0%(1/2),9,3
2022/10/19,4,北斗の拳 宿命,1310,328,728,25.0%(1/4),9,3
2022/10/19,6,アナターのオット!?はーです,800,400,250,100.0%(2/2),9,3
2022/10/9,4,Re:ゼロから始める異世界生活,1980,495,992,50.0%(2/4),9,3
2022/10/9,8,コードギアス反逆のルルーシュ3,1190,397,1490,66.7%(2/3),9,3
2022/10/9,10,戦姫絶唱シンフォギア 勇気の歌,480,160,2013,33.3%(1/3),9,3
2023/10/9,1,ゴーゴージャグラー3,7372,922,6857,75.0%(6/8),9,2
2023/10/9,2,幼女戦記,5508,1836,5657,66.7%(2/3),9,2
2023/9/9,2,からくりサーカス,7982,3991,3770,100.0%(2/2),9,2
2023/8/29,8,戦国コレクション5,1273,424,1402,66.7%(2/3),9,2
2023/8/29,9,幼女戦記,1217,406,106,33.3%(1/3),9,2
2023/8/19,10,ゴーゴージャグラー3,3133,522,6857,50.0%(3/6),9,2
2023/8/9,10,からくりサーカス,1196,598,3054,50.0%(1/2),9,2
2023/7/29,10,ニューパルサーSP3,1737,579,1397,33.3%(1/3),9,2
2023/7/9,8,戦国コレクション5,3227,1076,5456,66.7%(2/3),9,2
2023/6/9,10,ニューパルサーSP3,1667,556,1654,66.7%(2/3),9,2
2023/3/29,5,GI優駿倶楽部2,1813,906,833,50.0%(1/2),9,2
2022/12/9,8,鉄拳4デビルVer.,974,487,420,50.0%(1/2),9,2
2022/11/29,6,GI優駿倶楽部2,680,340,706,50.0%(1/2),9,2
2022/11/9,3,鉄拳4デビルVer.,2430,1215,585,50.0%(1/2),9,2
2022/11/9,5,政宗3,2040,1020,565,50.0%(1/2),9,2
2022/9/19,5,政宗3,1930,643,117,33.3%(1/3),9,2
2023/10/9,9,ニューパルサーDX3,1260,420,2747,33.3%(1/3),9,1
2023/9/9,4,009 RE:CYBORG,6766,3383,5102,50.0%(1/2),9,1
2023/8/29,1,キン肉マン7人の悪魔超人編,11851,3950,4223,100.0%(3/3),9,1
2023/8/29,10,盾の勇者の成り上がり,154,77,31,50.0%(1/2),9,1
